State,Entity_Level,Entity,Metric_type,Count,Amount,Year,Quarter
andaman-&-nicobar-islands,pincode,744302,TOTAL,27,37685.0,2024,2
andaman-&-nicobar-islands,pincode,744101,TOTAL,92,145811.0,2024,3
andaman-&-nicobar-islands,pincode,744102,TOTAL,196,248439.0,2024,3
andaman-&-nicobar-islands,pincode,744103,TOTAL,359,554559.0,2024,3
andaman-&-nicobar-islands,pincode,744104,TOTAL,95,128652.0,2024,3
andaman-&-nicobar-islands,pincode,744105,TOTAL,151,221959.0,2024,3
andaman-&-nicobar-islands,pincode,744106,TOTAL,54,84623.0,2024,3
andaman-&-nicobar-islands,pincode,744202,TOTAL,45,67769.0,2024,3
andaman-&-nicobar-islands,pincode,744207,TOTAL,25,27399.0,2024,3
andaman-&-nicobar-islands,pincode,744301,TOTAL,20,28067.0,2024,3
andaman-&-nicobar-islands,pincode,744302,TOTAL,24,28210.0,2024,3
andaman-&-nicobar-islands,pincode,744101,TOTAL,90,117544.0,2024,4
andaman-&-nicobar-islands,pincode,744102,TOTAL,165,228528.0,2024,4
andaman-&-nicobar-islands,pincode,744103,TOTAL,369,521509.0,2024,4
andaman-&-nicobar-islands,pincode,744104,TOTAL,129,250205.0,2024,4
andaman-&-nicobar-islands,pincode,744105,TOTAL,161,268432.0,2024,4
andaman-&-nicobar-islands,pincode,744106,TOTAL,53,90277.0,2024,4
andaman-&-nicobar-islands,pincode,744107,TOTAL,26,55695.0,2024,4
andaman-&-nicobar-islands,pincode,744202,TOTAL,65,107445.0,2024,4
andaman-&-nicobar-islands,pincode,744204,TOTAL,24,45960.0,2024,4
andaman-&-nicobar-islands,pincode,744301,TOTAL,50,86256.0,2024,4
andhra-pradesh,pincode,515001,TOTAL,540,86088.0,2020,2
andhra-pradesh,pincode,515004,TOTAL,437,71761.0,2020,2
andhra-pradesh,pincode,515671,TOTAL,250,43610.0,2020,2
andhra-pradesh,pincode,516001,TOTAL,322,50705.0,2020,2
andhra-pradesh,pincode,516360,TOTAL,339,55455.0,2020,2
andhra-pradesh,pincode,517002,TOTAL,279,43236.0,2020,2
andhra-pradesh,pincode,517501,TOTAL,259,43013.0,2020,2
andhra-pradesh,pincode,530016,TOTAL,262,41153.0,2020,2
andhra-pradesh,pincode,533005,TOTAL,301,46454.0,2020,2
andhra-pradesh,pincode,533103,TOTAL,258,43311.0,2020,2
andhra-pradesh,pincode,516001,TOTAL,746,161284.0,2020,3
andhra-pradesh,pincode,516360,TOTAL,532,135236.0,2020,3
andhra-pradesh,pincode,517501,TOTAL,777,172113.0,2020,3
andhra-pradesh,pincode,517507,TOTAL,776,201732.0,2020,3
andhra-pradesh,pincode,520010,TOTAL,542,116222.0,2020,3
andhra-pradesh,pincode,524002,TOTAL,663,143659.0,2020,3
andhra-pradesh,pincode,524003,TOTAL,608,128862.0,2020,3
andhra-pradesh,pincode,524004,TOTAL,795,165322.0,2020,3
andhra-pradesh,pincode,530016,TOTAL,661,156016.0,2020,3
andhra-pradesh,pincode,535003,TOTAL,968,195870.0,2020,3
andhra-pradesh,pincode,515001,TOTAL,292,120291.0,2020,4
andhra-pradesh,pincode,516001,TOTAL,260,110284.0,2020,4
andhra-pradesh,pincode,517501,TOTAL,234,139080.0,2020,4
andhra-pradesh,pincode,517507,TOTAL,228,123376.0,2020,4
andhra-pradesh,pincode,522001,TOTAL,196,110129.0,2020,4
andhra-pradesh,pincode,522003,TOTAL,181,79955.0,2020,4
andhra-pradesh,pincode,522004,TOTAL,201,102846.0,2020,4
andhra-pradesh,pincode,524002,TOTAL,211,99952.0,2020,4
andhra-pradesh,pincode,530016,TOTAL,233,101891.0,2020,4
andhra-pradesh,pincode,530026,TOTAL,215,132499.0,2020,4
andhra-pradesh,pincode,516001,TOTAL,258,130242.0,2021,1
andhra-pradesh,pincode,517501,TOTAL,249,105904.0,2021,1
andhra-pradesh,pincode,517507,TOTAL,215,169433.0,2021,1
andhra-pradesh,pincode,520010,TOTAL,224,135466.0,2021,1
andhra-pradesh,pincode,520011,TOTAL,177,70827.0,2021,1
andhra-pradesh,pincode,520012,TOTAL,178,127092.0,2021,1
andhra-pradesh,pincode,522001,TOTAL,210,85999.0,2021,1
andhra-pradesh,pincode,524002,TOTAL,178,100699.0,2021,1
andhra-pradesh,pincode,530016,TOTAL,287,144342.0,2021,1
andhra-pradesh,pincode,530026,TOTAL,250,114038.0,2021,1
andhra-pradesh,pincode,515001,TOTAL,271,168382.0,2021,2
andhra-pradesh,pincode,516001,TOTAL,268,144765.0,2021,2
andhra-pradesh,pincode,517501,TOTAL,374,208258.0,2021,2
