State,Entity_Level,Entity,Metric_type,Count,Amount,Year,Quarter
andhra-pradesh,district,kurnool,TOTAL,679623,764905298.7350456,2018,1
andhra-pradesh,district,prakasam,TOTAL,534757,748990775.8676486,2018,1
andhra-pradesh,district,spsr nellore,TOTAL,531612,676643237.8069417,2018,1
andhra-pradesh,district,visakhapatnam,TOTAL,1256469,1749966196.5049949,2018,1
andhra-pradesh,district,west godavari,TOTAL,577090,853547668.7532666,2018,1
andhra-pradesh,district,anantapur,TOTAL,937023,1690366079.0557928,2018,2
andhra-pradesh,district,chittoor,TOTAL,1185723,1990419125.893712,2018,2
andhra-pradesh,district,east godavari,TOTAL,1221677,2168914928.4239016,2018,2
andhra-pradesh,district,guntur,TOTAL,1088101,2108475811.785997,2018,2
andhra-pradesh,district,krishna,TOTAL,1224987,2448141593.4919834,2018,2
andhra-pradesh,district,kurnool,TOTAL,968439,1531888665.6843233,2018,2
andhra-pradesh,district,prakasam,TOTAL,739991,1571167562.1276274,2018,2
andhra-pradesh,district,spsr nellore,TOTAL,780454,1542057934.0108962,2018,2
andhra-pradesh,district,visakhapatnam,TOTAL,1641192,2987853607.293909,2018,2
andhra-pradesh,district,west godavari,TOTAL,786033,1688025212.3045945,2018,2
andhra-pradesh,district,anantapur,TOTAL,1815215,2681787750.464165,2018,3
andhra-pradesh,district,chittoor,TOTAL,2297429,3283517630.720593,2018,3
andhra-pradesh,district,east godavari,TOTAL,3226907,3551247095.3074465,2018,3
andhra-pradesh,district,guntur,TOTAL,1912529,3127764663.180438,2018,3
andhra-pradesh,district,krishna,TOTAL,2396934,3754202654.384461,2018,3
andhra-pradesh,district,kurnool,TOTAL,2921189,2908389261.539773,2018,3
andhra-pradesh,district,prakasam,TOTAL,1319651,2346453445.4838424,2018,3
andhra-pradesh,district,visakhapatnam,TOTAL,3394576,4821892253.393524,2018,3
andhra-pradesh,district,west godavari,TOTAL,1431282,2309078492.805815,2018,3
andhra-pradesh,district,ysr,TOTAL,1557444,2235904512.2542048,2018,3
andhra-pradesh,district,anantapur,TOTAL,2286391,3975878156.329829,2018,4
andhra-pradesh,district,chittoor,TOTAL,3166201,4979093890.223491,2018,4
andhra-pradesh,district,east godavari,TOTAL,3052762,4652624623.436675,2018,4
andhra-pradesh,district,guntur,TOTAL,2546620,4730251217.696959,2018,4
andhra-pradesh,district,krishna,TOTAL,2839161,5416251838.130407,2018,4
andhra-pradesh,district,kurnool,TOTAL,2508530,3626544852.406924,2018,4
andhra-pradesh,district,prakasam,TOTAL,1692862,3255254226.03728,2018,4
andhra-pradesh,district,spsr nellore,TOTAL,1814997,3293448556.973445,2018,4
andhra-pradesh,district,visakhapatnam,TOTAL,4791421,7366635864.849373,2018,4
andhra-pradesh,district,ysr,TOTAL,1732527,3252340063.2478595,2018,4
andhra-pradesh,district,anantapur,TOTAL,3891336,6044730653.191345,2019,1
andhra-pradesh,district,chittoor,TOTAL,6486813,8223371732.233585,2019,1
andhra-pradesh,district,east godavari,TOTAL,5440146,7382264724.59952,2019,1
andhra-pradesh,district,guntur,TOTAL,4846553,7765934169.404485,2019,1
andhra-pradesh,district,krishna,TOTAL,5443981,9061346433.07268,2019,1
andhra-pradesh,district,kurnool,TOTAL,4193432,5541564892.509682,2019,1
andhra-pradesh,district,prakasam,TOTAL,2931081,4807527779.215151,2019,1
andhra-pradesh,district,spsr nellore,TOTAL,3333584,5161932216.216368,2019,1
andhra-pradesh,district,visakhapatnam,TOTAL,9690866,13459857440.552685,2019,1
andhra-pradesh,district,ysr,TOTAL,2852197,4915811593.896078,2019,1
andhra-pradesh,district,anantapur,TOTAL,3578836,7830782361.3776655,2019,2
andhra-pradesh,district,chittoor,TOTAL,5983308,10982727976.224323,2019,2
andhra-pradesh,district,east godavari,TOTAL,4699261,9116404622.47651,2019,2
andhra-pradesh,district,guntur,TOTAL,5005275,10405246943.481497,2019,2
andhra-pradesh,district,krishna,TOTAL,6428472,13437029115.620754,2019,2
andhra-pradesh,district,kurnool,TOTAL,3895824,7358285187.018034,2019,2
andhra-pradesh,district,prakasam,TOTAL,2670529,6262396448.455348,2019,2
andhra-pradesh,district,spsr nellore,TOTAL,3141891,6880873007.48206,2019,2
andhra-pradesh,district,visakhapatnam,TOTAL,11705738,20797479804.02908,2019,2
andhra-pradesh,district,ysr,TOTAL,2606284,6376856828.130632,2019,2
andhra-pradesh,district,anantapur,TOTAL,4889720,9554081289.488276,2019,3
